yyyymmdd, hh:mm:ss, viewers
20250128,00:41:27,10,success
20250128,00:41:49,,error
20250128,00:42:24,,error
20250128,00:43:19,,error
20250128,01:36:59,,error
20250128,01:38:55,,error
20250128,01:41:25,,error
20250128,01:42:16,,error
20250128,01:42:23,,error
20250128,01:45:04,,error
20250128,01:46:04,12,success
20250128,01:47:05,13,success
20250128,01:48:05,12,success
20250128,01:49:05,12,success
20250128,01:50:06,12,success
20250128,01:51:06,12,success
20250128,01:52:07,12,success
20250128,01:53:07,12,success
20250128,01:54:07,13,success
20250128,01:55:08,14,success
20250128,01:56:08,14,success
20250128,01:57:08,14,success
20250128,01:58:09,14,success
20250128,01:59:09,14,success
20250128,02:00:10,13,success
20250128,02:01:10,12,success
20250128,02:02:11,12,success
20250128,02:03:11,12,success
20250128,02:04:11,12,success
20250128,02:05:12,,error
20250128,02:06:12,,error
20250128,02:07:13,,error
20250128,02:08:13,,error
20250128,02:09:13,,error
20250128,02:10:14,,error
20250128,02:11:14,,error
20250128,02:12:14,,error
20250128,02:13:15,,error
20250128,02:14:15,,error
20250128,02:15:15,,error
20250128,02:16:16,,error
20250128,02:17:16,,error
20250128,02:18:17,,error
20250128,02:19:18,12,success
20250128,02:20:18,12,success
20250128,02:21:18,12,success
20250128,02:22:19,12,success
20250128,02:23:19,12,success
20250128,02:24:20,13,success
20250128,02:25:20,12,success
20250128,02:26:20,13,success
20250128,02:27:21,13,success
20250128,02:28:21,13,success
20250128,02:29:21,13,success
20250128,02:30:22,14,success
20250128,02:31:22,14,success
20250128,02:32:23,15,success
20250128,02:33:23,14,success
20250128,02:34:23,13,success
20250128,02:35:24,13,success
20250128,02:36:24,13,success
20250128,02:37:25,13,success
20250128,02:38:25,13,success
20250128,02:39:25,13,success
20250128,02:40:26,13,success
20250128,02:41:26,13,success
20250128,02:42:26,12,success
20250128,02:43:27,12,success
20250128,02:44:27,12,success
