년도,학기,학수번호,과목명,이수구분,과목유형,학점,점수,등급,평점,재수강년도,재수강학기,재수강과목,삭제구분
2019,2,MTH60301,실함수론II,전공,,3,94,A,4,,,,
2019,2,MTH50701,복소해석학,기초공통,,3,100,A+,4.5,,,,
2019,2,DKK500AT,연구지도,연구지도,,2,100,A+,4.5,,,,
2020,1,MTH51401,기하학I,전공,,3,94,A,4,,,,
2020,1,MTH83101,세미나I,전공,,1,100,A+,4.5,,,,
2020,1,MTH50201,실함수론I(영강),기초공통,,3,94,A,4,,,,
2020,1,MTH50301,위상수학I,기초공통,,3,100,A+,4.5,,,,
2020,1,DKK500AG,연구지도,연구지도,,2,100,A+,4.5,,,,
2020,2,MTH60501,위상수학II,전공,,3,94,A,4,,,,
2020,2,MTH81801,응용수학특수연구III(영강),전공,,3,94,A,4,,,,
2020,2,XAI60701,고급딥러닝,전공선택,,3,89,B+,3.5,,,,
2020,2,DKK500SU,연구지도,연구지도,,2,100,A+,4.5,,,,
2021,1,MTH61401,수치해석(영강),전공,,3,100,A+,4.5,,,,
2021,1,AAA52100,인공지능이론,기초공통,,3,94,A,4,,,,
2021,1,MTH50101,대수학I(영강),기초공통,,3,100,A+,4.5,,,,
2021,1,DKK50053,연구지도,연구지도,,2,100,A+,4.5,,,,
2021,2,IDS50200,딥러닝의원리와응용,전공,,3,84,B,3,,,,
2021,2,IDS50400,인공지능과미래산업특강,전공,,3,84,B,3,,,,
2021,2,MTH61801,수치적편미분방정식(영강),전공,,3,89,B+,3.5,,,,
2021,2,MTH50601,응용수학I,기초공통,,3,84,B,3,,,,
2021,2,DKK5004O,연구지도,연구지도,,2,100,A+,4.5,,,,
2022,1,MTH77101,딥러닝과수학,전공,,3,100,A+,4.5,,,,
2022,1,DKK50048,연구지도,연구지도,,2,100,A+,4.5,,,,
